postal_code,date_valid_std,avg_temperature_air_2m_f
94940,2016-04-01,51.65
95667,2016-04-01,55.5
80516,2016-04-01,38.34
68827,2016-04-01,36.53
89405,2016-04-01,53.34
84304,2016-04-01,41.65
56345,2016-04-01,31.87
80007,2016-04-01,36.44
94512,2016-04-01,57.27
68943,2016-04-01,38.76
80252,2016-04-01,37.79
80603,2016-04-01,37.97
89045,2016-04-01,45.95
68924,2016-04-01,36.12
69026,2016-04-01,39.06
80023,2016-04-01,38.26
95621,2016-04-01,60.69
95611,2016-04-01,60.69
80540,2016-04-01,34.67
69021,2016-04-01,40.16
95632,2016-04-01,57.83
80137,2016-04-01,36.13
80539,2016-04-01,39.82
80301,2016-04-01,39.03
94904,2016-04-01,54.61
94976,2016-04-01,54.61
94925,2016-04-01,54.61
94914,2016-04-01,54.61
94977,2016-04-01,54.61
94939,2016-04-01,54.61
95610,2016-04-01,60.19
94953,2016-04-01,53.27
80498,2016-04-01,26.98
80459,2016-04-01,26.98
80701,2016-04-01,39
80705,2016-04-01,39
95838,2016-04-01,60.39
95831,2016-04-01,58.8
95834,2016-04-01,60.22
98531,2016-04-01,53.96
94591,2016-04-01,55.71
94503,2016-04-01,55.71
94590,2016-04-01,55.71
95612,2016-04-01,58.07
80543,2016-04-01,39.72
95950,2016-04-01,60.37
69348,2016-04-01,37.97
68852,2016-04-01,37.01
89423,2016-04-01,51.08
89721,2016-04-01,51.08
95415,2016-04-01,53.45
84049,2016-04-01,40.57
82070,2016-04-01,25.9
84004,2016-04-01,39.86
68874,2016-04-01,36.22
89411,2016-04-01,46.01
96155,2016-04-01,43.73
94515,2016-04-01,53.6
96106,2016-04-01,48.27
69341,2016-04-01,37.37
84042,2016-04-01,44.51
68838,2016-04-01,36.57
95928,2016-04-01,60.79
95724,2016-04-01,43.43
80734,2016-04-01,39.13
68876,2016-04-01,36.69
95992,2016-04-01,60.62
48450,2016-04-01,41.59
96105,2016-04-01,48.81
84050,2016-04-01,40.51
96117,2016-04-01,52.39
95938,2016-04-01,60.36
95917,2016-04-01,59.79
69141,2016-04-01,35.49
68855,2016-04-01,36.54
84415,2016-04-01,46.09
84409,2016-04-01,46.09
96121,2016-04-01,50.44
68636,2016-04-01,34.37
69221,2016-04-01,34.93
84301,2016-04-01,45.61
89419,2016-04-01,52.4
96087,2016-04-01,62.06
82646,2016-04-01,32.52
89412,2016-04-01,53.21
57563,2016-04-01,35.82
96029,2016-04-01,60.06
82051,2016-04-01,26.97
84320,2016-04-01,43.01
68879,2016-04-01,36.39
96022,2016-04-01,59.76
83330,2016-04-01,48.22
95567,2016-04-01,51.35
83128,2016-04-01,34.43
83327,2016-04-01,36.18
48061,2016-04-01,44.99
83261,2016-04-01,34.83
83281,2016-04-01,40.41
83318,2016-04-01,44.93
57358,2016-04-01,35.3
83423,2016-04-01,43.64
97710,2016-04-01,47.93
82620,2016-04-01,32.92
83271,2016-04-01,42.03
57454,2016-04-01,32.01
59064,2016-04-01,46.06
57717,2016-04-01,38.26
97495,2016-04-01,57.52
82420,2016-04-01,43.65
97492,2016-04-01,56.63
97527,2016-04-01,59.3
59063,2016-04-01,48.25
97884,2016-04-01,48.78
56212,2016-04-01,34.52
83637,2016-04-01,38.41
57620,2016-04-01,36.77
83427,2016-04-01,42.61
97499,2016-04-01,57.53
59106,2016-04-01,48.21
56317,2016-04-01,31.73
97870,2016-04-01,55.53
97451,2016-04-01,56.73
97841,2016-04-01,52.25
97456,2016-04-01,56.74
97823,2016-04-01,56.87
83704,2016-04-01,55.21
83714,2016-04-01,55.21
83713,2016-04-01,55.21
83619,2016-04-01,54.86
57422,2016-04-01,32.71
